"","h_co","ss","level","dist","alpha_mean","alpha_sd","alpha_range","beta_mean","beta_sd","beta_range","log_mean","log_sd","aic_mean","pneu_mean","pneu_sd","plet_mean","plet_sd"
"36","0.5","100","0.05","gamma",0.183156896223226,0.00552786130995688,0.01859673789863,1026.01260291571,163.62586209168,617.745456510999,-395.24625914803,6.54080973297068,794.49251829606,NA,NA,NA,NA
"37","0","100","0.05","neugammalet",0.288332727857372,0.139473160579141,0.621565499864666,393.987580835309,204.29916226687,744.419062364212,-396.759582652842,8.83342320247501,801.519165305683,0.09005823489983,0.0719668262485175,0.0564853000225453,0.0742737365902019
"38","0","100","0.05","gammalet",0.197248708408384,0.00703959355544007,0.024779048640272,543.348937929453,132.392903716603,445.137743010526,-394.431006190062,9.38538413131283,794.862012380124,NA,NA,0.0465943176537115,0.0343871261789565
"39","0","100","0.05","neugamma",0.241279419064713,0.028729370822993,0.086860178966761,563.528312500205,136.963283836803,493.196439279907,-393.298020230369,9.03656173349726,792.596040460739,0.0768249034400579,0.0331366050289695,NA,NA
"40","0","100","0.05","gamma",0.193971748558154,0.00719298303179125,0.025466048397429,747.247313318297,136.982429662192,463.452530134718,-393.839797715852,9.34260613471363,791.679595431705,NA,NA,NA,NA
"41","0.5","10","0.05","neugammalet",0.304027743904446,0.175712550496891,0.79493519385341,452.274251988559,296.996672706191,908.156314939365,-50.3097323933757,3.64786575194083,108.619464786751,0.103112922987399,0.0650965670168856,0.0871904881473941,0.138215554299629
"42","0.5","10","0.05","gammalet",0.194792533392615,0.0169970998855483,0.056828433343075,355.023800959707,369.081550867112,1309.82593469716,-48.9819898244298,1.90553661208972,103.96397964886,NA,NA,0.212059817034952,0.120761955624307
"43","0.5","10","0.05","neugamma",0.258997569192369,0.0499833818086215,0.228955452813505,644.243614358383,278.506272613689,1318.92943703173,-49.2389481780821,2.03366167217657,104.477896356164,0.101733000810092,0.0437012535300041,NA,NA
"44","0.5","10","0.05","gamma",0.181895798903166,0.0121213181705622,0.039638342144638,1221.24071544706,465.10550957757,1379.33338033552,-48.9838911916057,1.96705060150583,101.967782383211,NA,NA,NA,NA
"45","0","10","0.05","neugammalet",0.286413631823676,0.114224618714169,0.534992281547136,446.600125013549,469.881498678011,2195.66430027224,-50.7587625961491,4.25043632399801,109.517525192298,0.0960631028885417,0.0646154824091213,0.0781714745916638,0.127496538937634
"46","0","10","0.05","gammalet",0.197164767902961,0.0226355331550603,0.076836713410075,1616.36585934228,4080.08793089273,15090.8497993593,-166.089868922876,358.647123255386,338.179737845752,NA,NA,0.205589325460095,0.118396351291121
"47","0","10","0.05","neugamma",0.304188580296046,0.0944222317305315,0.355623433840092,559.437448498604,553.723061233161,2502.11338216067,-49.5080988193356,2.41935337397858,105.016197638671,0.121785996138759,0.0544847953247632,NA,NA
"48","0","10","0.05","gamma",0.188333340136927,0.0141283721715473,0.05840496732808,1031.53793395844,502.048710626817,2258.48756556319,-49.5665927251103,2.29785662412423,103.133185450221,NA,NA,NA,NA
"49","0.5","1000","0.01","neugammalet",0.214488792694254,0.0171454404068819,0.066804197437908,562.230497970586,126.498343177662,446.330391851253,-2817.9330029604,26.7218259833492,5643.8660059208,0.0536532787074327,0.0254405462176446,0.0206690572563201,0.01907121959807
"50","0.5","1000","0.01","gammalet",0.18945543261918,0.00586683556032181,0.019251220074703,585.229347118747,119.25542313192,381.742115879319,-2815.50251054839,26.158746933715,5637.00502109678,NA,NA,0.0303660059687065,0.0210817633229875
"51","0.5","1000","0.01","neugamma",0.199612098038146,0.0100342568845529,0.036085763289253,698.046083181836,87.209660160583,315.996046713179,-2821.24879246529,27.5154062961058,5648.49758493058,0.0318078727644528,0.0183312101629542,NA,NA
"52","0.5","1000","0.01","gamma",0.185585152569941,0.00459282062527986,0.013640963248342,753.875608420714,80.8515080985226,259.88004924126,-2820.7186958598,27.4585792071772,5645.43739171959,NA,NA,NA,NA
"53","0","1000","0.01","neugammalet",0.250266740281945,0.0963171770600007,0.333439199078821,533.182441531395,143.465478846946,455.623658280464,-2826.77377319333,61.151976799332,5661.54754638665,0.0887055008888278,0.0836051951059939,0.0108038393437593,0.017570528331543
"54","0","1000","0.01","gammalet",0.189476578579527,0.00591397380758923,0.020595934225849,631.714788099541,109.687205134611,414.532767343273,-2806.11631592758,20.9582199905389,5618.23263185516,NA,NA,0.0154207574830847,0.016925326685886
"55","0","1000","0.01","neugamma",0.206482254555395,0.0127814266634981,0.054480621509488,643.710333089161,79.3655822882608,361.272560513602,-2808.38997894629,22.1227350942954,5622.77995789259,0.0407083739528183,0.0182041267666338,NA,NA
"56","0","1000","0.01","gamma",0.187639711243467,0.00522216074311061,0.022488098343109,711.918868559918,72.1415839286969,333.313226559577,-2808.12319089501,21.8586718894247,5620.24638179003,NA,NA,NA,NA
"57","0.5","100","0.01","neugammalet",0.258605345595361,0.113440674422422,0.468168076845278,417.291784312283,211.799493416253,697.352675215314,-397.384564967107,6.0609943993721,802.769129934214,0.0800490762607492,0.0661690609632507,0.0689357335141053,0.0734807782341313
