"","Likelihood","pneu","plet","alpha","beta","Nanc","nu","T","scale","level","ss","h_co","fit","rep"
"34",-3346.49584752804,0,0.36,0.250079653061774,38.8013988032857,9629.39902939623,1.02639563069313,0.19660723175599,"na","0.10","1000","0.5","0.36",9
"35",-3223.56136568595,0,0.34,0.242388162594045,49.3805097543997,9629.39902939623,1.02639563069313,0.19660723175599,"na","0.10","1000","0.5","0.34",9
"36",-3122.25533497489,0,0.32,0.235495547206554,62.4968676723497,9629.39902939623,1.02639563069313,0.19660723175599,"na","0.10","1000","0.5","0.32",9
"37",-3039.45170129297,0,0.3,0.229263272545171,78.6875722094073,9629.39902939623,1.02639563069313,0.19660723175599,"na","0.10","1000","0.5","0.3",9
"38",-2972.37360864255,0,0.28,0.223533312830805,98.7219183313356,9629.39902939623,1.02639563069313,0.19660723175599,"na","0.10","1000","0.5","0.28",9
"39",-2918.56175482967,0,0.26,0.218292357234029,123.314392402484,9629.39902939623,1.02639563069313,0.19660723175599,"na","0.10","1000","0.5","0.26",9
"40",-2875.8500950677,0,0.24,0.213457673364457,153.446311201128,9629.39902939623,1.02639563069313,0.19660723175599,"na","0.10","1000","0.5","0.24",9
"41",-2842.33240047664,0,0.22,0.208971285090903,190.282166509906,9629.39902939623,1.02639563069313,0.19660723175599,"na","0.10","1000","0.5","0.22",9
"42",-2816.31496574271,0,0.2,0.204653047558486,235.871007554127,9629.39902939623,1.02639563069313,0.19660723175599,"na","0.10","1000","0.5","0.2",9
"43",-2796.25723306466,0,0.18,0.200428895849457,292.548606340799,9629.39902939623,1.02639563069313,0.19660723175599,"na","0.10","1000","0.5","0.18",9
"44",-2780.77673992014,0,0.16,0.196421650744585,362.986695086077,9629.39902939623,1.02639563069313,0.19660723175599,"na","0.10","1000","0.5","0.16",9
"45",-2768.83084300639,0,0.14,0.191930743798491,454.800609559426,9629.39902939623,1.02639563069313,0.19660723175599,"na","0.10","1000","0.5","0.14",9
"46",-2759.88541455697,0,0.12,0.188052950582387,565.912922228392,9629.39902939623,1.02639563069313,0.19660723175599,"na","0.10","1000","0.5","0.12",9
"47",-2754.08395422464,0,0.1,0.184901198847603,694.875995801394,9629.39902939623,1.02639563069313,0.19660723175599,"na","0.10","1000","0.5","0.1",9
"48",-2751.89462789182,0,0.08,0.182512285933699,839.203407645302,9629.39902939623,1.02639563069313,0.19660723175599,"na","0.10","1000","0.5","0.08",9
"49",-2753.66075572042,0,0.06,0.180593469010171,1002.2985603684,9629.39902939623,1.02639563069313,0.19660723175599,"na","0.10","1000","0.5","0.06",9
"50",-2759.36350095908,0,0.04,0.178812933419303,1192.16716579733,9629.39902939623,1.02639563069313,0.19660723175599,"na","0.10","1000","0.5","0.04",9
"51",-2768.58635782173,0,0.02,0.17646635869008,1441.05316599966,9629.39902939623,1.02639563069313,0.19660723175599,"na","0.10","1000","0.5","0.02",9
"52",-2780.37658992328,0,0,0.174048971477653,1751.82437426066,9629.39902939623,1.02639563069313,0.19660723175599,"na","0.10","1000","0.5","0.0",9
"53",-5003.62409940497,0,0.5,0.379465095553653,5.43130471142372,9809.05832824492,1.76884507276523,0.000101095901345662,"na","0.10","1000","0.5","0.5",8
"54",-4612.07509319842,0,0.48,0.352110240309685,7.38427733349819,9809.05832824492,1.76884507276523,0.000101095901345662,"na","0.10","1000","0.5","0.48",8
"55",-4278.11967855707,0,0.46,0.329926926174925,9.9026457580366,9809.05832824492,1.76884507276523,0.000101095901345662,"na","0.10","1000","0.5","0.46",8
"56",-3994.56578628259,0,0.44,0.311687871384414,13.1170533158868,9809.05832824492,1.76884507276523,0.000101095901345662,"na","0.10","1000","0.5","0.44",8
