"","ss","s","level","h","sd","mean","Type"
"83","1000","Nearly Neutral","1% Lethal","0",0.0014748192109882,0.125279970102348,"Expected"
"84","1000","Nearly Neutral","1% Lethal","0",0.00182463812553239,0.125905085773502,"Inferred"
"85","1000","Slightly Del.","1% Lethal","0",0.00353768661171361,0.190233703955362,"Expected"
"86","1000","Slightly Del.","1% Lethal","0",0.00477404327465875,0.191956381786897,"Inferred"
"87","1000","Moderately Del.","1% Lethal","0",0.00473551275224941,0.263047186672967,"Expected"
"88","1000","Moderately Del.","1% Lethal","0",0.00664119693138042,0.266799654336323,"Inferred"
"89","1000","Strongly Del.","1% Lethal","0",0.00716652386718318,0.186757957944338,"Expected"
"90","1000","Strongly Del.","1% Lethal","0",0.00895037226954481,0.181988925946891,"Inferred"
"91","10","Neutral","1% Lethal","0.5",0.00954156859778591,0.233391967639902,"Expected"
"92","10","Neutral","1% Lethal","0.5",0.0065511778360957,0.235266921504748,"Inferred"
"93","10","Nearly Neutral","1% Lethal","0.5",0.00724213695338747,0.122381301958822,"Expected"
"94","10","Nearly Neutral","1% Lethal","0.5",0.00510581422893692,0.120106700697886,"Inferred"
"95","10","Slightly Del.","1% Lethal","0.5",0.0164082900497018,0.18533595782811,"Expected"
"96","10","Slightly Del.","1% Lethal","0.5",0.0112533916181472,0.180288472253531,"Inferred"
"97","10","Moderately Del.","1% Lethal","0.5",0.0218042155229159,0.256982418920631,"Expected"
"98","10","Moderately Del.","1% Lethal","0.5",0.0152569446805954,0.252253436568129,"Inferred"
"99","10","Strongly Del.","1% Lethal","0.5",0.036171747925279,0.201908353652535,"Expected"
"100","10","Strongly Del.","1% Lethal","0.5",0.0262905049682476,0.212084468975707,"Inferred"
"101","100","Neutral","1% Lethal","0.5",0.00505098231592253,0.235909453845756,"Expected"
"102","100","Neutral","1% Lethal","0.5",0.00483655952368134,0.235840322487904,"Inferred"
"103","100","Nearly Neutral","1% Lethal","0.5",0.00247361285288069,0.124359043769533,"Expected"
"104","100","Nearly Neutral","1% Lethal","0.5",0.00219069164591027,0.123993626666213,"Inferred"
"105","100","Slightly Del.","1% Lethal","0.5",0.00603958560143056,0.188160903366171,"Expected"
"106","100","Slightly Del.","1% Lethal","0.5",0.00512496909311171,0.187544073408982,"Inferred"
