,X,Likelihood,pneu,plet,alpha,beta,Nanc,nu,T,scale,level,ss,h_co,dist,rep
84,84,-392.0434698,na,na,0.176107803,1567.307938,9620.045621,1.028174924,0.334066262,na,0.1,100,0.5,gamma,10
85,85,-389.077362,0.146416534,0.001029348,0.277182992,805.5813082,9630.212388,1.032406756,0.168615117,na,0.1,100,0.5,neugammalet,9
86,86,-385.9828223,0,0.079750164,0.178656913,971.3545299,9630.212388,1.032406756,0.168615117,na,0.1,100,0.5,gammalet,9
87,87,-385.7488528,0.028449959,0,0.187562256,1575.763661,9630.212388,1.032406756,0.168615117,na,0.1,100,0.5,neugamma,9
88,88,-385.6021491,na,na,0.175239293,1729.485156,9630.212388,1.032406756,0.168615117,na,0.1,100,0.5,gamma,9
89,89,-404.872414,0.106858554,0.047651236,0.253115178,3149.984483,52641.88325,0.185461803,5.109368052,na,0.1,100,0.5,neugammalet,8
90,90,-403.6763393,0,0.056970622,0.188730145,4722.711456,52641.88325,0.185461803,5.109368052,na,0.1,100,0.5,gammalet,8
91,91,-404.4953165,0.06807894,0,0.219731313,5410.097582,52641.88325,0.185461803,5.109368052,na,0.1,100,0.5,neugamma,8
92,92,-403.4779251,na,na,0.185794464,7045.472357,52641.88325,0.185461803,5.109368052,na,0.1,100,0.5,gamma,8
93,93,-387.858492,0.005027269,0.115566195,0.186139379,587.555975,9447.04141,1.061603619,0.591266633,na,0.1,100,0.5,neugammalet,7
94,94,-387.7595326,0,0.09753662,0.181859847,697.5503546,9447.04141,1.061603619,0.591266633,na,0.1,100,0.5,gammalet,7
95,95,-388.6495606,0.029195445,0,0.18937427,1331.493375,9447.04141,1.061603619,0.591266633,na,0.1,100,0.5,neugamma,7
96,96,-388.1468292,na,na,0.17621485,1486.962091,9447.04141,1.061603619,0.591266633,na,0.1,100,0.5,gamma,7
97,97,-393.745444,0.060082683,0.017053307,0.211468853,1017.759838,9821.346396,0.499909016,0.000103315,na,0.1,100,0.5,neugammalet,6
98,98,-393.8798791,0,0.119340492,0.186552677,585.036348,9821.346396,0.499909016,0.000103315,na,0.1,100,0.5,gammalet,6
99,99,-394.4893583,0.077823126,0,0.219908826,1100.083437,9821.346396,0.499909016,0.000103315,na,0.1,100,0.5,neugamma,6
100,100,-393.8119737,na,na,0.178132388,1504.597227,9821.346396,0.499909016,0.000103315,na,0.1,100,0.5,gamma,6
101,101,-401.8597623,0.047327547,0.013332707,0.197899682,1341.603788,9561.380255,1.033416917,0.661078023,na,0.1,100,0.5,neugammalet,5
102,102,-398.3980969,0,0.121735643,0.183599584,650.5586291,9561.380255,1.033416917,0.661078023,na,0.1,100,0.5,gammalet,5
103,103,-402.84573,0.059189358,0,0.203333532,1420.031649,9561.380255,1.033416917,0.661078023,na,0.1,100,0.5,neugamma,5
104,104,-400.3876808,na,na,0.174845222,1769.916342,9561.380255,1.033416917,0.661078023,na,0.1,100,0.5,gamma,5
105,105,-399.0280885,0.095571514,0.089822121,0.257663724,412.0078259,9754.115563,1.004287875,0.004013817,na,0.1,100,0.5,neugammalet,4
