"","X","Likelihood","pneu","plet","alpha","beta","Nanc","nu","T","scale","level","ss","h_co","dist","rep"
"87",87,-407.989257412107,"0.0631493945269008","0",0.208411940931817,1277.14624517358,9710.04656221295,1.02198603556559,0.544202546192593,"na",0.1,100,0.5,"neugamma",9
"88",88,-406.188477198205,"na","na",0.175254229445231,1703.71488209102,9710.04656221295,1.02198603556559,0.544202546192593,"na",0.1,100,0.5,"gamma",9
"89",89,-390.81875200488,"0.00629696219239574","0.00119949308797893",0.189382058304966,1259.84430947929,9749.225678298,1.29284112361246,0.00116821667280582,"na",0.1,100,0.5,"neugammalet",8
"90",90,-386.702999772242,"0","0.180588729333812",0.20092773733385,311.406239437187,9749.225678298,1.29284112361246,0.00116821667280582,"na",0.1,100,0.5,"gammalet",8
"91",91,-391.884977918188,"0.0329824311720287","0",0.202347868744002,1157.42729661959,9749.225678298,1.29284112361246,0.00116821667280582,"na",0.1,100,0.5,"neugamma",8
"92",92,-390.696971096047,"na","na",0.185679767536022,1325.61216114692,9749.225678298,1.29284112361246,0.00116821667280582,"na",0.1,100,0.5,"gamma",8
"93",93,-388.923256302704,"0.063981325095315","0.0506053850433046",0.24202293018349,501.904887063324,9880.28422863042,0.191719469782347,0.000100437798907698,"na",0.1,100,0.5,"neugammalet",7
"94",94,-389.823521719884,"0","0.0806214135133091",0.202427265769873,533.5656779225,9880.28422863042,0.191719469782347,0.000100437798907698,"na",0.1,100,0.5,"gammalet",7
"95",95,-389.679047151441,"0.0902765895887679","0",0.25765768209567,629.154042841032,9880.28422863042,0.191719469782347,0.000100437798907698,"na",0.1,100,0.5,"neugamma",7
"96",96,-389.176413289992,"na","na",0.197358750528896,937.245758272867,9880.28422863042,0.191719469782347,0.000100437798907698,"na",0.1,100,0.5,"gamma",7
"97",97,-401.397130488767,"0.0199295377642251","0.010854463647939",0.183199235450776,1551.27149767579,9823.18264561297,1.06028678315768,0.0230388083787113,"na",0.1,100,0.5,"neugammalet",6
"98",98,-398.271167036931,"0","0.162213532367416",0.185894017066901,469.303714457196,9823.18264561297,1.06028678315768,0.0230388083787113,"na",0.1,100,0.5,"gammalet",6
"99",99,-401.687788097241,"0.0188852686510881","0",0.182152267068872,1677.63171782264,9823.18264561297,1.06028678315768,0.0230388083787113,"na",0.1,100,0.5,"neugamma",6
"100",100,-400.828700805934,"na","na",0.174850793114596,1770.10169046537,9823.18264561297,1.06028678315768,0.0230388083787113,"na",0.1,100,0.5,"gamma",6
"101",101,-386.934751601417,"0.0446511206977434","0.00107900237691828",0.201273558498817,1192.33537273577,9703.43139959466,1.04599285944426,0.0660973443536678,"na",0.1,100,0.5,"neugammalet",5
"102",102,-378.977974255234,"0","0.202036162398026",0.197700604587325,261.25656226122,9703.43139959466,1.04599285944426,0.0660973443536678,"na",0.1,100,0.5,"gammalet",5
"103",103,-384.83074259588,"0.00821702125199024","0",0.183388958249272,1380.2055657313,9703.43139959466,1.04599285944426,0.0660973443536678,"na",0.1,100,0.5,"neugamma",5
"104",104,-384.439532856246,"na","na",0.179534401648945,1439.13747046565,9703.43139959466,1.04599285944426,0.0660973443536678,"na",0.1,100,0.5,"gamma",5
"105",105,-396.621203997255,"0.0430515670892544","0.00383998235655692",0.194318015148585,1513.00350916956,9669.48928067432,1.0392802937558,0.14406259151342,"na",0.1,100,0.5,"neugammalet",4
"106",106,-386.179319918283,"0","0.253761333258761",0.198174990502291,192.712312616866,9669.48928067432,1.0392802937558,0.14406259151342,"na",0.1,100,0.5,"gammalet",4
"107",107,-394.737395188403,"0.0122334094331291","0",0.178531041870532,1790.96912996374,9669.48928067432,1.0392802937558,0.14406259151342,"na",0.1,100,0.5,"neugamma",4
"108",108,-393.94649283,"na","na",0.173756759062864,1859.85891374217,9669.48928067432,1.0392802937558,0.14406259151342,"na",0.1,100,0.5,"gamma",4
"109",109,-378.014051033442,"0.0526530272693106","0.0106151871739815",0.213713711345037,1037.02525327255,9838.4349459898,1.02704953367936,0.0789831569440746,"na",0.1,100,0.5,"neugammalet",3
"110",110,-378.155958633176,"0","0.0889515497368851",0.190546606741112,715.456629429581,9838.4349459898,1.02704953367936,0.0789831569440746,"na",0.1,100,0.5,"gammalet",3
"111",111,-378.060016079738,"0.0512246947214713","0",0.212334678488572,1113.0060066548,9838.4349459898,1.02704953367936,0.0789831569440746,"na",0.1,100,0.5,"neugamma",3
"112",112,-377.367477061612,"na","na",0.18425067829452,1413.65125555237,9838.4349459898,1.02704953367936,0.0789831569440746,"na",0.1,100,0.5,"gamma",3
"113",113,-384.964943636404,"0.0782484673382688","0.00837458411171636",0.22174046903371,988.424531591696,9685.99575051878,1.03988753714831,0.102692815951487,"na",0.1,100,0.5,"neugammalet",2
